FacilityKey,Facility Type,Latitude,Longitude,CountryCode,CountryName,GlobalRegion,SubRegion,CurrencyCode,PrivacyRegime,ProvinceState,City,LyraFacilityType,ActiveFlag
31,Primary Care Center,6.156299695455418,6.855749634780461,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Durban,In-Person Counselling Centre,1
32,Primary Care Center,6.246951683067666,4.359969014933978,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,In-Person Counselling Centre,1
33,Primary Care Center,13.510166920575816,12.006525023061531,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Telephone Counselling Centre,1
34,Primary Care Center,6.473005970718013,7.197557724054207,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Toronto,Telephone Counselling Centre,1
35,Primary Care Center,13.398171983455342,12.861300338409537,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Calgary,Digital Care Hub,1
36,Primary Care Center,13.247544947832864,5.525490587301862,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,London,Digital Care Hub,1
37,Primary Care Center,6.750022667687306,7.380644046659475,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Critical Incident Response Centre,1
38,Primary Care Center,7.438281171649732,3.4278088136340985,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Critical Incident Response Centre,1
39,Primary Care Center,7.820389424069303,13.592259704168749,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Bloemfontein,Digital Care Hub,1
40,Primary Care Center,5.098892382976606,6.819344947473744,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
41,Primary Care Center,4.313103005971447,7.076706614969844,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Digital Care Hub,1
42,Primary Care Center,4.989515835429223,12.30174402377174,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Corporate Wellness Site,1
43,Primary Care Center,9.991291953671194,12.065124157352638,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Telephone Counselling Centre,1
44,Primary Care Center,12.291617069701536,5.230816379918881,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,In-Person Counselling Centre,1
45,Primary Care Center,11.15846465187228,5.700461133557214,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Corporate Wellness Site,1
46,Primary Care Center,13.174235094480515,12.982070698184357,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Pretoria,In-Person Counselling Centre,1
47,Primary Care Center,6.148798370021112,4.94085441909898,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Digital Care Hub,1
48,Primary Care Center,9.48199075258252,9.46925857063819,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Digital Care Hub,1
49,Primary Care Center,11.83789870365636,14.427695922874598,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Telephone Counselling Centre,1
50,Primary Care Center,8.138060071510145,9.137780525743134,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,In-Person Counselling Centre,1
51,Primary Care Center,7.6739393750426546,3.9264290254797967,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Calgary,In-Person Counselling Centre,1
52,Primary Care Center,5.737303800403392,13.041853421193856,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Manchester,Telephone Counselling Centre,1
53,Primary Care Center,6.377552073568552,5.865149788991117,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Ottawa,Telephone Counselling Centre,1
54,Primary Care Center,4.536587630598104,7.7713097288953,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Melbourne,Corporate Wellness Site,1
55,Primary Care Center,8.176207683341374,10.81835287739752,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,Telephone Counselling Centre,1
56,Primary Care Center,5.311766802884908,7.865283725798186,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Melbourne,In-Person Counselling Centre,1
57,Primary Care Center,12.99363125187279,9.042595667074652,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Telephone Counselling Centre,1
58,Primary Care Center,13.840092517423592,11.042679694425566,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Critical Incident Response Centre,1
59,Primary Care Center,10.676363299906182,7.1430050839019446,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Telephone Counselling Centre,1
60,Primary Care Center,12.716333796871504,8.373322360781996,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,In-Person Counselling Centre,1
61,Primary Care Center,5.245136197236323,7.132828159667508,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Corporate Wellness Site,1
62,Primary Care Center,9.908231946141251,6.775896690715101,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Corporate Wellness Site,1
63,Primary Care Center,10.467905212098438,9.208291154471247,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Belfast,Telephone Counselling Centre,1
64,Primary Care Center,6.90631942238392,5.531311603620699,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Corporate Wellness Site,1
65,Primary Care Center,11.348858833268736,6.911341680390859,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,In-Person Counselling Centre,1
66,Primary Care Center,7.08207003280951,9.307112036879907,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,In-Person Counselling Centre,1
67,Primary Care Center,5.950082175170728,12.6375751058417,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Telephone Counselling Centre,1
68,Primary Care Center,9.326224606854664,11.20001115604264,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Belfast,Telephone Counselling Centre,1
69,Primary Care Center,5.196493610268465,13.2803805493846,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Digital Care Hub,1
70,Primary Care Center,8.41671549770957,13.367933788137224,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Montreal,In-Person Counselling Centre,1
71,Primary Care Center,13.540156903147262,9.206569621330994,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Manchester,In-Person Counselling Centre,1
72,Primary Care Center,6.162816483073413,4.241221269307475,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Miami,Digital Care Hub,1
73,Primary Care Center,12.81873862500334,8.469053884570581,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Corporate Wellness Site,1
74,Primary Care Center,11.390998639407576,11.446310836838968,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Cardiff,Telephone Counselling Centre,1
75,Primary Care Center,10.513546453882796,9.845764982813725,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Johannesburg,Digital Care Hub,1
76,Primary Care Center,5.585133172682705,12.689358187559144,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,Telephone Counselling Centre,1
77,Primary Care Center,10.842071566159529,3.228274984689582,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Corporate Wellness Site,1
78,Primary Care Center,5.48371960356811,8.284905001563953,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Digital Care Hub,1
79,Primary Care Center,9.966608723126482,11.44698069826034,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Critical Incident Response Centre,1
80,Primary Care Center,13.343580089345243,14.29489000389036,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
81,Primary Care Center,7.185746660494539,4.043397625292993,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Adelaide,Telephone Counselling Centre,1
82,Primary Care Center,4.703536991862528,7.3361407963894365,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Cape Town,Telephone Counselling Centre,1
83,Primary Care Center,8.517000595482168,7.22599120335442,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Telephone Counselling Centre,1
84,Primary Care Center,5.617474390675247,10.359712034803882,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
85,Primary Care Center,4.42123686663982,10.46798265632879,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,Critical Incident Response Centre,1
86,Primary Care Center,8.335644564029135,9.179645814001086,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Telephone Counselling Centre,1
87,Primary Care Center,8.224219376403905,5.19362098536938,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Telephone Counselling Centre,1
88,Primary Care Center,13.119690073473336,10.271873108894791,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Cape Town,Corporate Wellness Site,1
89,Primary Care Center,7.31872859308945,13.332661948694913,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,In-Person Counselling Centre,1
90,Primary Care Center,13.328176002801357,11.54212984254263,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Corporate Wellness Site,1
91,Primary Care Center,8.773502089448758,12.020778682712589,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Telephone Counselling Centre,1
92,Primary Care Center,5.765238050821395,8.07520012707431,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,In-Person Counselling Centre,1
93,Primary Care Center,6.507080487002569,11.383911902722623,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Belfast,Telephone Counselling Centre,1
94,Primary Care Center,6.116183161059648,8.66013470958954,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Cape Town,Telephone Counselling Centre,1
95,Primary Care Center,6.992811907665175,8.549903060408734,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Cardiff,Critical Incident Response Centre,1
96,Primary Care Center,12.751858110286689,11.677512227269489,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
97,Primary Care Center,12.726279300650951,9.151193526385027,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,In-Person Counselling Centre,1
98,Primary Care Center,5.842758062686002,10.557747555880455,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,In-Person Counselling Centre,1
99,Primary Care Center,11.65220869404855,12.178350774191122,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,In-Person Counselling Centre,1
100,Primary Care Center,8.083447656021841,7.968353978459422,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Corporate Wellness Site,1
101,Primary Care Center,6.387335448321247,8.124347105744617,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Telephone Counselling Centre,1
102,Primary Care Center,8.237837705196164,3.77006237752307,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Bloemfontein,Digital Care Hub,1
103,Primary Care Center,11.212116253598928,6.223685975780142,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Critical Incident Response Centre,1
104,Primary Care Center,6.604824193696196,11.161103483871434,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Digital Care Hub,1
105,Primary Care Center,8.0460470438518,11.570163839437075,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Sydney,Critical Incident Response Centre,1
106,Primary Care Center,5.398678074767776,9.82101273243318,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Telephone Counselling Centre,1
107,Primary Care Center,9.451066100481876,13.91991858012366,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,In-Person Counselling Centre,1
108,Primary Care Center,8.724332958890109,13.58644311057319,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Cardiff,Telephone Counselling Centre,1
109,Primary Care Center,6.923499386879452,11.668847803946411,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Digital Care Hub,1
110,Primary Care Center,10.939997330027964,6.73449873449537,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Critical Incident Response Centre,1
111,Primary Care Center,11.462884254542818,10.724621112367512,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Telephone Counselling Centre,1
112,Primary Care Center,9.46238708209078,3.7933910781807465,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Digital Care Hub,1
113,Primary Care Center,7.817296007256752,7.850264600644731,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,Telephone Counselling Centre,1
114,Primary Care Center,11.80843559459497,13.426783576403588,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Cardiff,Digital Care Hub,1
115,Primary Care Center,13.767274459616262,13.1435255829469,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Cape Town,In-Person Counselling Centre,1
116,Primary Care Center,10.518582957326974,6.635082622060823,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Brisbane,Critical Incident Response Centre,1
117,Primary Care Center,9.444882835872065,12.95006245808518,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Digital Care Hub,1
118,Primary Care Center,11.078815251367809,3.4293120428476778,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,In-Person Counselling Centre,1
119,Primary Care Center,5.703199982829676,12.22869948557906,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Perth,Telephone Counselling Centre,1
120,Primary Care Center,12.897195407663276,7.428776615640686,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Telephone Counselling Centre,1
121,Primary Care Center,9.345074294876376,9.663738404389402,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,London,Telephone Counselling Centre,1
122,Primary Care Center,9.808382214826102,12.56938641877237,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Sydney,Telephone Counselling Centre,1
123,Primary Care Center,6.535066561295508,4.778433822135104,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Corporate Wellness Site,1
124,Primary Care Center,13.89198419511485,8.635510509787524,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Digital Care Hub,1
125,Primary Care Center,5.072396319695974,10.310892803871353,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
126,Primary Care Center,7.682315105973647,5.349449827381552,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Telephone Counselling Centre,1
127,Primary Care Center,13.782067981442763,6.236045890359778,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Corporate Wellness Site,1
128,Primary Care Center,10.18134180021704,11.799942451189455,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Perth,Digital Care Hub,1
129,Specialized Healthcare Center,12.382540792380908,9.977997994037068,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Telephone Counselling Centre,1
130,Specialized Healthcare Center,8.238039536922413,9.981004440994502,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Digital Care Hub,1
131,Specialized Healthcare Center,8.802277303292527,6.883092479025909,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,In-Person Counselling Centre,1
132,Specialized Healthcare Center,6.023286420455007,13.43129440667957,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Telephone Counselling Centre,1
133,Specialized Healthcare Center,10.88444859060176,4.955462923959178,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
134,Specialized Healthcare Center,6.082927829960428,10.700057017819766,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,In-Person Counselling Centre,1
135,Specialized Healthcare Center,7.820156619590602,10.330011918118355,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Ottawa,Telephone Counselling Centre,1
136,Specialized Healthcare Center,8.31047386397821,3.270469840810316,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,Critical Incident Response Centre,1
137,Specialized Healthcare Center,4.931507109760916,7.076113018792832,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Corporate Wellness Site,1
138,Specialized Healthcare Center,7.442217857620285,11.866176729248547,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Bloemfontein,Digital Care Hub,1
139,Specialized Healthcare Center,11.6763376205045,4.7364919783211406,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,In-Person Counselling Centre,1
140,Specialized Healthcare Center,13.60169123599225,14.08376244735737,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Montreal,In-Person Counselling Centre,1
141,Pharmacy,11.775643743071264,5.990445472506123,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Ottawa,Digital Care Hub,1
142,Pharmacy,6.826053557156151,10.10981790630437,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,In-Person Counselling Centre,1
143,Pharmacy,10.041058355290048,6.138952403379626,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Telephone Counselling Centre,1
144,Pharmacy,4.59951617104039,3.7900548391878544,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,In-Person Counselling Centre,1
145,Pharmacy,11.976493055001054,7.024788087405538,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Corporate Wellness Site,1
146,Pharmacy,9.054661952790442,11.395471390164166,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,In-Person Counselling Centre,1
147,Pharmacy,7.532891600137544,14.523631532894166,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,Telephone Counselling Centre,1
148,Pharmacy,7.703752985521094,5.147090793803449,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Corporate Wellness Site,1
149,Pharmacy,11.271162288350313,14.327976819738437,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,Telephone Counselling Centre,1
150,Pharmacy,5.209079378984494,14.499760594492516,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Telephone Counselling Centre,1
151,Pharmacy,7.687859378380351,7.3356746354850895,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Brisbane,Telephone Counselling Centre,1
152,Pharmacy,12.427442622374077,11.858130551032769,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,In-Person Counselling Centre,1
153,Pharmacy,13.49146695516616,8.088828380584156,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Corporate Wellness Site,1
154,Pharmacy,13.433130245597583,6.971124417665337,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,In-Person Counselling Centre,1
155,Pharmacy,7.895342627043242,14.44062102372674,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Ottawa,Telephone Counselling Centre,1
156,Pharmacy,10.161692896379648,3.593861117405755,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Corporate Wellness Site,1
157,Pharmacy,8.092928106837826,8.92739336908028,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Durban,Corporate Wellness Site,1
158,Pharmacy,6.804840761774676,11.62713940042939,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Manchester,Corporate Wellness Site,1
159,Pharmacy,9.240752151477862,5.902920080165593,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
160,Pharmacy,13.062743947358095,9.058133976796553,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,In-Person Counselling Centre,1
161,Pharmacy,9.13659767054184,8.561991623521443,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Critical Incident Response Centre,1
162,Pharmacy,9.64493586507052,9.918991727218591,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Pretoria,Corporate Wellness Site,1
163,Pharmacy,6.056985072723024,4.618602946669077,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,Telephone Counselling Centre,1
164,Pharmacy,11.70173570729882,4.963771408327626,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Telephone Counselling Centre,1
165,Pharmacy,10.13379676770736,12.502719354250456,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
166,Pharmacy,13.506456028310508,6.108643281636006,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Manchester,Critical Incident Response Centre,1
167,Pharmacy,13.631759704921734,4.04597615239754,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,In-Person Counselling Centre,1
168,Pharmacy,11.278775792660868,6.614689665292911,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,In-Person Counselling Centre,1
169,Pharmacy,10.058894404150914,10.564883836769573,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Telephone Counselling Centre,1
