MedicationSalesKey,MedicationSalesID,Date_Sold,Med_name,Med_class,Quantity_Sold,Price,DateKey,CountryCode,CountryKey,CountryName,GlobalRegion,CurrencyCode,MentalHealthMedicationFlag,TherapeuticClass,MedicationName,MedicationKey,ClientCompanyKey,ClientCompanyName,IndustrySectorName,MedicationSalesAmountLocal,MedicationSalesAmountZAR,PrescriptionRequiredFlag,TreatmentType,LoadDTS
37,MEDSALE000000037,2020-08-22,Topiramate Tablet (25 mg), Anticonvulsant,64,92.9,20200822,ZA,2,South Africa,Africa,ZAR,0, Anticonvulsant,Topiramate Tablet,35,1,Standard Bank,Financial Services,5945.6,5945.6,0,General Healthcare Medication,2026-05-26 09:14:55
38,MEDSALE000000038,2019-05-07,Salmeterol Inhaler (50 mcg/actuation), Long-Acting Beta-2 Agonist,52,8.7,20190507,US,1,United States,North America,USD,0, Long-Acting Beta-2 Agonist,Salmeterol Inhaler,36,16,Global Logistics Employer,Logistics and Supply Chain,452.4,8369.4,0,General Healthcare Medication,2026-05-26 09:14:55
39,MEDSALE000000039,2021-11-10,Hydroquinone Topical Cream (4%), Skin Lightening Agent,10,50.0,20211110,UK,3,United Kingdom,Europe,GBP,0, Skin Lightening Agent,Hydroquinone Topical Cream,37,11,UK Financial Services Employer,Financial Services,500.0,11750.0,0,General Healthcare Medication,2026-05-26 09:14:55
40,MEDSALE000000040,2022-01-21,Hydrocortisone Topical Cream (2, Low-Potency Corticosteroid,12,20.4,20220121,US,1,United States,North America,USD,0, Low-Potency Corticosteroid,Hydrocortisone Topical Cream (2,38,7,US Technology Employer,Technology,244.8,4528.8,0,General Healthcare Medication,2026-05-26 09:14:55
41,MEDSALE000000041,2023-08-05,Tiotropium Inhaler (18 mcg/actuation), Anticholinergic,9,56.9,20230805,US,1,United States,North America,USD,0, Anticholinergic,Tiotropium Inhaler,11,16,Global Logistics Employer,Logistics and Supply Chain,512.1,9473.85,0,General Healthcare Medication,2026-05-26 09:14:55
42,MEDSALE000000042,2021-11-03,Mirtazapine Tablet (15 mg), Atypical Antidepressant,56,8.4,20211103,ZA,2,South Africa,Africa,ZAR,1, Atypical Antidepressant,Mirtazapine Tablet,39,5,Sasol,Energy,470.4,470.4,1,Mental Health Medication,2026-05-26 09:14:55
43,MEDSALE000000043,2018-12-09,Prazosin Capsule (1 mg), Alpha-Blocker,46,33.0,20181209,US,1,United States,North America,USD,0, Alpha-Blocker,Prazosin Capsule,40,16,Global Logistics Employer,Logistics and Supply Chain,1518.0,28083.0,0,General Healthcare Medication,2026-05-26 09:14:55
44,MEDSALE000000044,2022-07-28,Torsemide Tablet (20 mg), Loop Diuretic,98,89.8,20220728,AU,4,Australia,Asia-Pacific,AUD,0, Loop Diuretic,Torsemide Tablet,41,12,Australian Mining Employer,Mining,8800.4,107364.88,0,General Healthcare Medication,2026-05-26 09:14:55
45,MEDSALE000000045,2021-07-29,Tamsulosin Tablet (0.2 mg), Alpha-Blocker,83,36.7,20210729,CA,5,Canada,North America,CAD,0, Alpha-Blocker,Tamsulosin Tablet,42,15,Canadian Retail Employer,Retail,3046.1,41426.96,0,General Healthcare Medication,2026-05-26 09:14:55
46,MEDSALE000000046,2019-04-10,Fluticasone/Salmeterol Inhaler (100/50 mcg/actuation), Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,97,54.8,20190410,ZA,2,South Africa,Africa,ZAR,0, Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,Fluticasone/Salmeterol Inhaler,43,6,South African Public Sector Employer,Public Sector,5315.6,5315.6,0,General Healthcare Medication,2026-05-26 09:14:55
47,MEDSALE000000047,2021-05-25,Hydrocortisone Topical Cream (1%), Low-Potency Corticosteroid,79,20.0,20210525,ZA,2,South Africa,Africa,ZAR,0, Low-Potency Corticosteroid,Hydrocortisone Topical Cream,44,1,Standard Bank,Financial Services,1580.0,1580.0,0,General Healthcare Medication,2026-05-26 09:14:55
48,MEDSALE000000048,2021-06-29,Diflunisal Tablet (500 mg), Nonsteroidal Anti-Inflammatory Drug,77,41.1,20210629,ZA,2,South Africa,Africa,ZAR,0, Nonsteroidal Anti-Inflammatory Drug,Diflunisal Tablet,45,2,Discovery Limited,Financial Services,3164.7,3164.7,0,General Healthcare Medication,2026-05-26 09:14:55
49,MEDSALE000000049,2020-01-24,Zolpidem Tablet (10 mg), Sedative-Hypnotic,8,39.9,20200124,UK,3,United Kingdom,Europe,GBP,1, Sedative-Hypnotic,Zolpidem Tablet,15,10,UK Public Sector Employer,Public Sector,319.2,7501.2,0,Mental Health Medication,2026-05-26 09:14:55
50,MEDSALE000000050,2022-03-22,Cialis Tablet (2, Phosphodiesterase Type 5 Inhibitor,20,52.5,20220322,ZA,2,South Africa,Africa,ZAR,0, Phosphodiesterase Type 5 Inhibitor,Cialis Tablet (2,46,5,Sasol,Energy,1050.0,1050.0,0,General Healthcare Medication,2026-05-26 09:14:55
51,MEDSALE000000051,2020-07-02,Levetiracetam Tablet (500 mg), Anticonvulsant,21,32.5,20200702,US,1,United States,North America,USD,0, Anticonvulsant,Levetiracetam Tablet,47,7,US Technology Employer,Technology,682.5,12626.25,0,General Healthcare Medication,2026-05-26 09:14:55
52,MEDSALE000000052,2021-12-01,Prazosin Capsule (1 mg), Alpha-Blocker,60,30.3,20211201,US,1,United States,North America,USD,0, Alpha-Blocker,Prazosin Capsule,40,8,US Healthcare Employer,Healthcare,1818.0,33633.0,0,General Healthcare Medication,2026-05-26 09:14:55
53,MEDSALE000000053,2020-07-23,Fluticasone Nasal Spray (50 mcg/spray), Intranasal Corticosteroid,31,48.7,20200723,US,1,United States,North America,USD,0, Intranasal Corticosteroid,Fluticasone Nasal Spray,48,7,US Technology Employer,Technology,1509.7,27929.45,0,General Healthcare Medication,2026-05-26 09:14:55
54,MEDSALE000000054,2019-05-19,Desoximetasone Topical Cream (0.25%), Mid-Potency Corticosteroid,17,50.7,20190519,US,1,United States,North America,USD,0, Mid-Potency Corticosteroid,Desoximetasone Topical Cream,8,9,US Financial Services Employer,Financial Services,861.9,15945.15,0,General Healthcare Medication,2026-05-26 09:14:55
55,MEDSALE000000055,2019-06-09,Naloxone Injection (0.4 mg/mL), Opioid Antagonist,9,75.3,20190609,US,1,United States,North America,USD,0, Opioid Antagonist,Naloxone Injection,49,9,US Financial Services Employer,Financial Services,677.7,12537.45,1,General Healthcare Medication,2026-05-26 09:14:55
56,MEDSALE000000056,2020-09-12,Tretinoin Topical Cream (0.025%), Retinoid,31,26.0,20200912,US,1,United States,North America,USD,0, Retinoid,Tretinoin Topical Cream,50,16,Global Logistics Employer,Logistics and Supply Chain,806.0,14911.0,0,General Healthcare Medication,2026-05-26 09:14:55
57,MEDSALE000000057,2019-12-30,Alprostadil Injection (20 mcg/mL), Prostaglandin E1 Analog,95,11.2,20191230,ZA,2,South Africa,Africa,ZAR,0, Prostaglandin E1 Analog,Alprostadil Injection,25,2,Discovery Limited,Financial Services,1064.0,1064.0,0,General Healthcare Medication,2026-05-26 09:14:55
58,MEDSALE000000058,2020-06-13,Sildenafil Tablet (50 mg), Phosphodiesterase Type 5 Inhibitor,76,33.2,20200613,US,1,United States,North America,USD,0, Phosphodiesterase Type 5 Inhibitor,Sildenafil Tablet,28,9,US Financial Services Employer,Financial Services,2523.2,46679.2,0,General Healthcare Medication,2026-05-26 09:14:55
59,MEDSALE000000059,2023-04-24,Minoxidil Topical Solution (5%), Vasodilator,20,43.1,20230424,US,1,United States,North America,USD,0, Vasodilator,Minoxidil Topical Solution,51,9,US Financial Services Employer,Financial Services,862.0,15947.0,0,General Healthcare Medication,2026-05-26 09:14:55
60,MEDSALE000000060,2020-05-20,Morphine Tablet (15 mg), Opioid Analgesic,54,42.8,20200520,US,1,United States,North America,USD,0, Opioid Analgesic,Morphine Tablet,52,8,US Healthcare Employer,Healthcare,2311.2,42757.2,1,General Healthcare Medication,2026-05-26 09:14:55
61,MEDSALE000000061,2020-12-14,Methadone Tablet (10 mg), Opioid Analgesic,14,36.1,20201214,US,1,United States,North America,USD,0, Opioid Analgesic,Methadone Tablet,53,8,US Healthcare Employer,Healthcare,505.4,9349.9,1,General Healthcare Medication,2026-05-26 09:14:55
62,MEDSALE000000062,2021-05-17,"Acetaminophen Tablet (1,000 mg)", Analgesic,8,77.8,20210517,ZA,2,South Africa,Africa,ZAR,0, Analgesic,Acetaminophen Tablet,54,6,South African Public Sector Employer,Public Sector,622.4,622.4,0,General Healthcare Medication,2026-05-26 09:14:55
63,MEDSALE000000063,2020-09-22,Diflunisal Tablet (500 mg), Nonsteroidal Anti-Inflammatory Drug,79,53.7,20200922,UK,3,United Kingdom,Europe,GBP,0, Nonsteroidal Anti-Inflammatory Drug,Diflunisal Tablet,45,10,UK Public Sector Employer,Public Sector,4242.3,99694.05,0,General Healthcare Medication,2026-05-26 09:14:55
64,MEDSALE000000064,2022-09-20,Fluticasone/Salmeterol Inhaler (100/50 mcg/actuation), Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,12,38.7,20220920,ZA,2,South Africa,Africa,ZAR,0, Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,Fluticasone/Salmeterol Inhaler,43,6,South African Public Sector Employer,Public Sector,464.4,464.4,0,General Healthcare Medication,2026-05-26 09:14:55
65,MEDSALE000000065,2023-02-01,Epinephrine Injection (1 mg/mL), Sympathomimetic,83,2.5,20230201,US,1,United States,North America,USD,0, Sympathomimetic,Epinephrine Injection,55,7,US Technology Employer,Technology,207.5,3838.75,0,General Healthcare Medication,2026-05-26 09:14:55
66,MEDSALE000000066,2019-05-01,Methyltestosterone Tablet (10 mg), Androgen Hormone,33,40.0,20190501,US,1,United States,North America,USD,0, Androgen Hormone,Methyltestosterone Tablet,3,9,US Financial Services Employer,Financial Services,1320.0,24420.0,0,General Healthcare Medication,2026-05-26 09:14:55
67,MEDSALE000000067,2019-06-11,Venlafaxine Capsule (75 mg), Serotonin-Norepinephrine Reuptake Inhibitor,97,17.6,20190611,ZA,2,South Africa,Africa,ZAR,1, Serotonin-Norepinephrine Reuptake Inhibitor,Venlafaxine Capsule,56,1,Standard Bank,Financial Services,1707.2,1707.2,0,Mental Health Medication,2026-05-26 09:14:55
68,MEDSALE000000068,2023-02-13,Estradiol Tablet (2 mg), Estrogen Hormone,65,0.9,20230213,US,1,United States,North America,USD,0, Estrogen Hormone,Estradiol Tablet,57,9,US Financial Services Employer,Financial Services,58.5,1082.25,0,General Healthcare Medication,2026-05-26 09:14:55
69,MEDSALE000000069,2022-10-20,Ketorolac Tablet (10 mg), Nonsteroidal Anti-Inflammatory Drug,5,55.0,20221020,US,1,United States,North America,USD,0, Nonsteroidal Anti-Inflammatory Drug,Ketorolac Tablet,58,7,US Technology Employer,Technology,275.0,5087.5,0,General Healthcare Medication,2026-05-26 09:14:55
70,MEDSALE000000070,2021-09-20,Fluticasone/Salmeterol Inhaler (100/50 mcg/actuation), Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,31,2.8,20210920,US,1,United States,North America,USD,0, Inhaled Corticosteroid/Long-Acting Beta-2 Agonist Combination,Fluticasone/Salmeterol Inhaler,43,7,US Technology Employer,Technology,86.8,1605.8,0,General Healthcare Medication,2026-05-26 09:14:55
71,MEDSALE000000071,2019-03-30,Venlafaxine Capsule (75 mg), Serotonin-Norepinephrine Reuptake Inhibitor,64,65.7,20190330,CA,5,Canada,North America,CAD,1, Serotonin-Norepinephrine Reuptake Inhibitor,Venlafaxine Capsule,56,14,Canadian Technology Employer,Technology,4204.8,57185.28,0,Mental Health Medication,2026-05-26 09:14:55
72,MEDSALE000000072,2021-05-16,Celecoxib Capsule (200 mg), Nonsteroidal Anti-Inflammatory Drug,74,1.1,20210516,ZA,2,South Africa,Africa,ZAR,0, Nonsteroidal Anti-Inflammatory Drug,Celecoxib Capsule,59,3,Vodacom,Telecommunications,81.4,81.4,0,General Healthcare Medication,2026-05-26 09:14:55
73,MEDSALE000000073,2018-11-20,Rofecoxib Tablet (25 mg), Nonsteroidal Anti-Inflammatory Drug,38,23.1,20181120,US,1,United States,North America,USD,0, Nonsteroidal Anti-Inflammatory Drug,Rofecoxib Tablet,9,9,US Financial Services Employer,Financial Services,877.8,16239.3,0,General Healthcare Medication,2026-05-26 09:14:55
74,MEDSALE000000074,2021-11-09,Clobetasol Topical Cream (0.05%), High-Potency Corticosteroid,23,61.2,20211109,ZA,2,South Africa,Africa,ZAR,0, High-Potency Corticosteroid,Clobetasol Topical Cream,60,4,MTN Group,Telecommunications,1407.6,1407.6,0,General Healthcare Medication,2026-05-26 09:14:55
75,MEDSALE000000075,2022-04-30,Adapalene/Benzoyl Peroxide Topical Gel (0.1/2.5%), Retinoid/Acne Treatment Combination,36,91.1,20220430,US,1,United States,North America,USD,0, Retinoid/Acne Treatment Combination,Adapalene/Benzoyl Peroxide Topical Gel,30,9,US Financial Services Employer,Financial Services,3279.6,60672.6,0,General Healthcare Medication,2026-05-26 09:14:55
76,MEDSALE000000076,2022-12-27,Piroxicam Capsule (20 mg), Nonsteroidal Anti-Inflammatory Drug,61,91.7,20221227,US,1,United States,North America,USD,0, Nonsteroidal Anti-Inflammatory Drug,Piroxicam Capsule,61,7,US Technology Employer,Technology,5593.7,103483.45,0,General Healthcare Medication,2026-05-26 09:14:55
77,MEDSALE000000077,2019-06-12,Isoproterenol Injection (0.2 mg/mL), Sympathomimetic,97,83.3,20190612,US,1,United States,North America,USD,0, Sympathomimetic,Isoproterenol Injection,62,16,Global Logistics Employer,Logistics and Supply Chain,8080.1,149481.85,0,General Healthcare Medication,2026-05-26 09:14:55
78,MEDSALE000000078,2023-01-22,Sildenafil Tablet (20 mg), Phosphodiesterase Type 5 Inhibitor,51,60.2,20230122,US,1,United States,North America,USD,0, Phosphodiesterase Type 5 Inhibitor,Sildenafil Tablet,63,7,US Technology Employer,Technology,3070.2,56798.7,0,General Healthcare Medication,2026-05-26 09:14:55
79,MEDSALE000000079,2021-11-23,Fluconazole Topical Gel (0.5%), Antifungal,82,13.3,20211123,CA,5,Canada,North America,CAD,0, Antifungal,Fluconazole Topical Gel,64,14,Canadian Technology Employer,Technology,1090.6,14832.16,0,General Healthcare Medication,2026-05-26 09:14:55
80,MEDSALE000000080,2022-12-14,Valproic Acid Capsule (250 mg), Anticonvulsant/Mood Stabilizer,2,92.2,20221214,CA,5,Canada,North America,CAD,1, Anticonvulsant/Mood Stabilizer,Valproic Acid Capsule,65,15,Canadian Retail Employer,Retail,184.4,2507.84,1,Mental Health Medication,2026-05-26 09:14:55
81,MEDSALE000000081,2023-06-23,Clomiphene Tablet (50 mg), Selective Estrogen Receptor Modulator,83,11.7,20230623,US,1,United States,North America,USD,0, Selective Estrogen Receptor Modulator,Clomiphene Tablet,66,16,Global Logistics Employer,Logistics and Supply Chain,971.1,17965.35,0,General Healthcare Medication,2026-05-26 09:14:55
82,MEDSALE000000082,2019-04-14,Ipratropium Inhaler (20 mcg/actuation), Anticholinergic,18,39.3,20190414,UK,3,United Kingdom,Europe,GBP,0, Anticholinergic,Ipratropium Inhaler,67,10,UK Public Sector Employer,Public Sector,707.4,16623.9,0,General Healthcare Medication,2026-05-26 09:14:55
83,MEDSALE000000083,2019-04-13,Metronidazole Topical Gel (0.75%), Antibiotic,79,39.2,20190413,US,1,United States,North America,USD,0, Antibiotic,Metronidazole Topical Gel,68,8,US Healthcare Employer,Healthcare,3096.8,57290.8,0,General Healthcare Medication,2026-05-26 09:14:55
84,MEDSALE000000084,2023-07-08,Oxazepam Capsule (10 mg), Benzodiazepine,64,34.8,20230708,ZA,2,South Africa,Africa,ZAR,1, Benzodiazepine,Oxazepam Capsule,69,2,Discovery Limited,Financial Services,2227.2,2227.2,1,Mental Health Medication,2026-05-26 09:14:55
