ConsentKey,EmployeeNaturalKey,CountryCode,ConsentType,ConsentStatus,ConsentChannel,EffectiveFromDate,EffectiveToDate,IsCurrent,ChangeReason,HashValue
42,EMP0000246521,US,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,3075800669192864594
43,EMP0000246521,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,1892903312414036181
44,EMP0000246521,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1157489413906948392
45,EMP0000246521,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15708372286171645369
46,EMP0000796347,CA,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,9145506854685135743
47,EMP0000796347,CA,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,10781287648295433198
48,EMP0000796347,CA,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4398020495344101732
49,EMP0000796347,CA,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,12988901630781277116
50,EMP0000796347,CA,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15836032373058853941
51,EMP0000920307,US,Service Delivery,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15575360026764166352
52,EMP0000920307,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,6526336854773118526
53,EMP0000920307,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15362261963762859028
54,EMP0000920307,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,6641652956889825745
55,EMP0000920307,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,7195435617757297509
56,EMP0000732391,ZA,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,6123145182729529912
57,EMP0000732391,ZA,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1631858020658104158
58,EMP0000732391,ZA,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,3700417056944642715
59,EMP0000732391,ZA,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,11767037515223478051
60,EMP0000732391,ZA,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,2153766726277202726
61,EMP0000649246,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,12373149734613241023
62,EMP0000649246,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,10167652068927898845
63,EMP0000649246,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,11430747088572553959
64,EMP0000649246,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,16104566250443740767
65,EMP0000649246,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1904242944739375883
66,EMP0000173739,UK,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4525449315241561131
67,EMP0000173739,UK,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,12501953880736136160
68,EMP0000173739,UK,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,6811890870437741099
69,EMP0000173739,UK,Research,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,11559596477401310428
70,EMP0000173739,UK,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,15843434984544243999
71,EMP0000683024,UK,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,14017532218806934357
72,EMP0000683024,UK,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,12577518800898857489
73,EMP0000683024,UK,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1717444138400233395
74,EMP0000683024,UK,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,7381068183311306528
75,EMP0000683024,UK,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,10771756502163192628
76,EMP0000483458,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,9685575947545052684
77,EMP0000483458,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,12168197759744014886
78,EMP0000483458,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15299210264431459196
79,EMP0000483458,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,10313885437171269383
80,EMP0000483458,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,3132320350854788813
81,EMP0000281665,CA,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,15602138011007609253
82,EMP0000281665,CA,Analytics,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,14440652789496348872
83,EMP0000281665,CA,Marketing,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4987517328940971218
84,EMP0000281665,CA,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,1946311974378414478
85,EMP0000281665,CA,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,14029660262988255130
86,EMP0000320804,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,13107037113888767679
87,EMP0000320804,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,14633274575056950190
88,EMP0000320804,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,16589745355846143257
89,EMP0000320804,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,8867905156125151996
90,EMP0000320804,US,Data Sharing,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,10325221544919186332
91,EMP0000432976,US,Service Delivery,Declined,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,17127632730885457914
92,EMP0000432976,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,12668949428393890573
93,EMP0000432976,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,1054910782018062944
94,EMP0000432976,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,8149842860894338664
95,EMP0000432976,US,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,840684518059895870
96,EMP0000905564,UK,Service Delivery,Declined,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17578526487580728525
97,EMP0000905564,UK,Analytics,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4987844810564967322
98,EMP0000905564,UK,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,11583834557173688295
99,EMP0000905564,UK,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,16915778000706277335
100,EMP0000905564,UK,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,11724485091025360189
101,EMP0000352319,UK,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,5968776624916076677
102,EMP0000352319,UK,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,853240688846408927
103,EMP0000352319,UK,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17820946418710328084
104,EMP0000352319,UK,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,16147532268954747254
105,EMP0000352319,UK,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,2371502220351144330
106,EMP0000022972,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,4678117379394323373
107,EMP0000022972,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,16874112934301819340
108,EMP0000022972,US,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,1691450449898268750
109,EMP0000022972,US,Research,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,5894352873216277877
110,EMP0000022972,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,5358363100827048645
111,EMP0000799343,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,14794144769554259304
112,EMP0000799343,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,259232680721637808
113,EMP0000799343,US,Marketing,Declined,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,1450841948742179074
114,EMP0000799343,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,6466665088793526393
115,EMP0000799343,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,992991214850291186
116,EMP0000973520,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,11789269782275451656
117,EMP0000973520,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,17434506526287793757
118,EMP0000973520,US,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,2874287095054635187
119,EMP0000973520,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,3250286731817036059
120,EMP0000973520,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,179622583913017367
121,EMP0000503581,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,8603983289782784357
122,EMP0000503581,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,5098924752616894932
123,EMP0000503581,US,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,655334813785492518
124,EMP0000503581,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,7247529051509047894
125,EMP0000503581,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,4128846665995375450
126,EMP0000489135,UK,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15067977040381546871
127,EMP0000489135,UK,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15192049278456452453
128,EMP0000489135,UK,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,8842012281468651133
129,EMP0000489135,UK,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1686736645117561605
130,EMP0000489135,UK,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,1339916816766638142
131,EMP0000343846,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,17436170844139865264
132,EMP0000343846,US,Analytics,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,5652145673181745745
133,EMP0000343846,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,11124543614036856541
134,EMP0000343846,US,Research,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,561562576903380431
135,EMP0000343846,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,7842241313212647308
136,EMP0000847095,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,15332917579517017720
137,EMP0000847095,US,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,13093299754558048314
138,EMP0000847095,US,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,13610779888237361075
139,EMP0000847095,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,6867548406576215707
140,EMP0000847095,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,4240236192655353969
141,EMP0000439719,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,10269125931898625368
142,EMP0000439719,US,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,1736116137858396104
143,EMP0000439719,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17982666713379399191
144,EMP0000439719,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,7130988503805630494
145,EMP0000439719,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,4592423783841483763
146,EMP0000630656,US,Service Delivery,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,14957317785800554283
147,EMP0000630656,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,10570171340472789442
148,EMP0000630656,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,13744732532649199022
149,EMP0000630656,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,7735846647274356988
150,EMP0000630656,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4442189695892640963
151,EMP0000553203,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,3746619199503946788
152,EMP0000553203,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,9442219091588994204
153,EMP0000553203,US,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,15306818686554093375
154,EMP0000553203,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,14106339789951027503
155,EMP0000553203,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,7736214825736529200
156,EMP0000500909,ZA,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,124824325808511429
157,EMP0000500909,ZA,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1137067004084949126
158,EMP0000500909,ZA,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,6971605580567327936
159,EMP0000500909,ZA,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,17885627358422472091
160,EMP0000500909,ZA,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,11033698643442626638
161,EMP0000383922,CA,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,12795067974088499739
162,EMP0000383922,CA,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,48441467311043753
163,EMP0000383922,CA,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,18326836814833014712
164,EMP0000383922,CA,Research,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15562346055375218524
165,EMP0000383922,CA,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,15969109926689368604
166,EMP0000586053,UK,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,18253171695691981461
167,EMP0000586053,UK,Analytics,Declined,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15800992649088307874
168,EMP0000586053,UK,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,10145499696698598542
169,EMP0000586053,UK,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,5912389341377183422
170,EMP0000586053,UK,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,374738317250271650
171,EMP0000390040,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,9515098332828986427
172,EMP0000390040,US,Analytics,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,4443043291008193553
173,EMP0000390040,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4804405713192907480
174,EMP0000390040,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,17020765594078714235
175,EMP0000390040,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,12769617979072307345
176,EMP0000719677,AU,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,14408520169422209208
177,EMP0000719677,AU,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17968380691220571848
178,EMP0000719677,AU,Marketing,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,16227484449228993567
179,EMP0000719677,AU,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1293014328939415400
180,EMP0000719677,AU,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,10212570595421647620
181,EMP0000584172,UK,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,9120696202476718293
182,EMP0000584172,UK,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,7125276782914542297
183,EMP0000584172,UK,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,8692231084937829073
184,EMP0000584172,UK,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17924394505256798932
185,EMP0000584172,UK,Data Sharing,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1899367209028225734
186,EMP0000159835,UK,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,9489105251881479870
187,EMP0000159835,UK,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,13009861611355732376
188,EMP0000159835,UK,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,18332037789069536282
189,EMP0000159835,UK,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,11898737348825827874
190,EMP0000159835,UK,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,2003037276312174606
191,EMP0000477653,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,18233283590727169669
192,EMP0000477653,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,14615736361418063226
193,EMP0000477653,US,Marketing,Declined,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,2857804650198192960
194,EMP0000477653,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,169002904222256393
195,EMP0000477653,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,13699254252301597194
196,EMP0000388449,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,14175775278210257484
197,EMP0000388449,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,9194695239691385389
198,EMP0000388449,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,3377487119195642967
199,EMP0000388449,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,14632921632447579556
200,EMP0000388449,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,4523679605557765946
201,EMP0000319313,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,3212834242104439637
202,EMP0000319313,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,18388534018581359175
203,EMP0000319313,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1135363370858127283
204,EMP0000319313,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,12310231874087594152
205,EMP0000319313,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,9391397083461740412
206,EMP0000702887,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,17214188518679453067
207,EMP0000702887,US,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,10993839227097039001
208,EMP0000702887,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,14049747068770524299
209,EMP0000702887,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,524658961132641250
210,EMP0000702887,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,8152994511493160214
211,EMP0000583186,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,9917351318080465886
212,EMP0000583186,US,Analytics,Declined,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,15957803693320595613
213,EMP0000583186,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,4745338219622806852
214,EMP0000583186,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15596700972987267548
215,EMP0000583186,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,6749140620036665184
216,EMP0000685633,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15670156863283727143
217,EMP0000685633,US,Analytics,Declined,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,393661051764282453
218,EMP0000685633,US,Marketing,Declined,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,14946284272534691346
219,EMP0000685633,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,13193147824562514052
220,EMP0000685633,US,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,9107683331309079363
221,EMP0000218099,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17558479213725473808
222,EMP0000218099,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,14706961083315185048
223,EMP0000218099,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,15880067669560038078
224,EMP0000218099,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,8248102902943627127
225,EMP0000218099,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,3181091612668272395
226,EMP0000858131,ZA,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,6155971748332394297
227,EMP0000858131,ZA,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,10169563687524209542
228,EMP0000858131,ZA,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,5323924928587430317
229,EMP0000858131,ZA,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,5189019203371708371
230,EMP0000858131,ZA,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,16411275385618032382
231,EMP0000165476,US,Service Delivery,Declined,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,583636217316938048
232,EMP0000165476,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,7795144479670653132
233,EMP0000165476,US,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,6620596650120252039
234,EMP0000165476,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,7092990429473648095
235,EMP0000165476,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,16046979924284923008
